step,phase,phase_step,true_noise,estimated_noise,true_drift,estimated_drift,confidence,freshness,current_trust,historical_trust,low_trust_streak,recalibration_requested,recalibration_event,recalibration_reason
0,healthy,0,0.08278853596915768,0.07722274289077456,0.030750322656680006,0.06584950891162317,0.93256403657641,0.9048374180359595,0.923582300702493,0.923582300702493,0,False,False,
1,healthy,1,0.0878435913540969,0.012975920637049027,0.032608164978882484,0.021760230771622733,0.9953763223725998,0.9048374180359595,0.9663693972499718,0.9321397200119887,0,False,False,
2,healthy,2,0.07437275949607207,0.1072045848360055,0.04516065864310087,0.05068601751529247,0.8777780308718953,0.9048374180359595,0.9061812116391392,0.9269480183374188,0,False,False,
3,healthy,3,0.07440881244081393,0.023675694066428075,0.04767797051627726,0.04976081371144645,0.9621195333871875,0.9048374180359595,0.9483801109113181,0.9312344368521988,0,False,False,
4,healthy,4,0.08611638503665615,0.07050251917942817,0.0509441818496468,0.07546230847932305,1.0,0.9048374180359595,0.9397181475943022,0.9329311790006194,0,False,False,
5,healthy,5,0.07185491686760295,0.05982343323484618,0.032901491305003916,0.07201783174018603,0.8582057168701333,0.9048374180359595,0.9078004674827651,0.9279050366970486,0,False,False,
6,healthy,6,0.08614256546548761,0.0,0.051891953600814535,0.021547417190839403,0.9181162294159846,0.9048374180359595,0.9503515575652761,0.9323943408706942,0,False,False,
7,healthy,7,0.0865880932850599,0.13038870543788023,0.04855559257092738,0.09092366373832741,0.831298826390129,0.9048374180359595,0.8787059688124701,0.9216566664590493,0,False,False,
8,healthy,8,0.08409143672429847,0.08981242959734453,0.031374731509669865,0.07230654708685821,0.9862255125897144,0.9048374180359595,0.9322359884853677,0.923772530864313,0,False,False,
9,healthy,9,0.07202002858819459,0.08951428368165502,0.03833920809330276,0.0069899348323227625,0.9040086250890826,0.9048374180359595,0.928085456152766,0.9246351159220035,0,False,False,
10,healthy,10,0.07740361934233765,0.06489784079246844,0.03628521092314463,0.15307292204717204,0.8472682914892243,0.9048374180359595,0.8835337366713858,0.91641484007188,0,False,False,
11,healthy,11,0.07342277296396194,0.01847904296885402,0.051873803938510474,0.07715843848047348,1.0,0.9048374180359595,0.952299984146658,0.9235918688868356,0,False,False,
12,healthy,12,0.08979046701273191,0.01864252035578305,0.04919999279562279,0.022596165379687155,1.0,0.9048374180359595,0.9658996830751223,0.932053431724493,0,False,False,
13,healthy,13,0.07458096143928208,0.002397041135367678,0.030963007317121132,0.0151833990764376,1.0,0.9048374180359595,0.9718142444560385,0.9400055942708021,0,False,False,
14,healthy,14,0.07421965687172653,0.10521804526038331,0.05828729143005163,0.027817118497898523,0.9018421271099649,0.9048374180359595,0.9184110953469107,0.9356866944860238,0,False,False,
15,healthy,15,0.08829095179481088,0.04671189673271055,0.04376555557762196,0.04025251689259208,1.0,0.9048374180359595,0.9544682511026643,0.9394430058093519,0,False,False,
16,healthy,16,0.08122736268326301,0.0,0.037882248255688054,0.0,0.954581087024652,0.9048374180359595,0.964854626265153,0.9445253299005121,0,False,False,
17,healthy,17,0.08995075212990221,0.11073880155573579,0.04528578881029394,0.05835400277028408,0.9458004277533706,0.9048374180359595,0.9203862603658275,0.9396975159935752,0,False,False,
18,healthy,18,0.07219298260701318,0.08587764837739029,0.0488233812510927,0.0,1.0,0.9048374180359595,0.9547399424146423,0.9427060012777886,0,False,False,
19,healthy,19,0.08992242760480194,0.10897478400258956,0.04587343035297411,0.14352847657716641,0.8702885885423518,0.9048374180359595,0.8806556864996389,0.9302959383221587,0,False,False,
20,healthy,20,0.07022962043885639,0.04441616997658125,0.05162165458080584,0.0,0.9701510878862606,0.9048374180359595,0.9576430839864096,0.9357653674550088,0,False,False,
21,healthy,21,0.07223104347191753,0.14339709478027673,0.043042957520073144,0.0,0.9995182984534924,0.9048374180359595,0.9402396554272938,0.9366602250494658,0,False,False,
22,healthy,22,0.08751705880756389,0.05614784049854408,0.03790167152253272,0.03778614893185367,1.0,0.9048374180359595,0.9527258571513904,0.9398733514698507,0,False,False,
23,healthy,23,0.07596889582897266,0.02321386085785644,0.04916848484598015,0.026860944874592625,0.9508299596381452,0.9048374180359595,0.9513981429854139,0.9421783097729635,0,False,False,
24,healthy,24,0.08525021600150302,0.09624748750900367,0.04618137090358877,0.0,1.0,0.9048374180359595,0.9521474826317389,0.9441721443447186,0,False,False,
25,healthy,25,0.07038953484771665,0.07054857598561613,0.05787295848793851,0.12615743300957594,0.817056478664534,0.9048374180359595,0.8812969719263253,0.93159710986104,0,False,False,
26,healthy,26,0.07615028250805322,0.16343632842660566,0.031737754994825625,0.0,1.0,0.9048374180359595,0.9353502724023384,0.9323477423692997,0,False,False,
27,healthy,27,0.07138425036936767,0.1009519510601635,0.052818064957716945,0.05542162421291436,0.8957185978573161,0.9048374180359595,0.9110456101550495,0.9280873159264498,0,False,False,
28,healthy,28,0.07950564756197463,0.06992080911220908,0.04649410780484832,0.1475074747088304,0.8641467002327964,0.9048374180359595,0.8878889586119292,0.9200476444635457,0,False,False,
29,healthy,29,0.08078592177558917,0.09680551403584481,0.051897932072699285,0.06495532607725424,1.0,0.9048374180359595,0.935769144480715,0.9231919444669796,0,False,False,
30,degradation,0,0.08,0.15240508434140504,0.05,0.047792591183536536,0.8305413394651524,0.9048374180359595,0.8837952704940426,0.9153126096723923,0,False,False,
31,degradation,1,0.08423728813559322,0.10712980811017023,0.06525423728813559,0.09110359220882526,0.9600393072994634,0.9048374180359595,0.9166608312541069,0.9155822539887353,0,False,False,
32,degradation,2,0.08847457627118645,0.05346019131244979,0.0805084745762712,0.1371776944556156,0.9307765185651351,0.9048374180359595,0.9112440127082573,0.9147146057326397,0,False,False,
33,degradation,3,0.09271186440677967,0.12770309549257897,0.0957627118644068,0.15946637386912918,0.9338739979005848,0.9048374180359595,0.8878854866437091,0.9093487819148537,0,False,False,
34,degradation,4,0.09694915254237288,0.1112749539414614,0.11101694915254237,0.21865671090756858,0.88752357733816,0.9048374180359595,0.8656073326312723,0.9006004920581374,0,False,False,
35,degradation,5,0.1011864406779661,0.08638822903936202,0.12627118644067797,0.13186953831982948,1.0,0.9048374180359595,0.9216449126691919,0.9048093761803483,0,False,False,
36,degradation,6,0.10542372881355933,0.11135935315789934,0.14152542372881358,0.16749430648577418,0.9841170513691037,0.9048374180359595,0.9025252024403474,0.9043525414323481,0,False,False,
37,degradation,7,0.10966101694915255,0.08401808643781107,0.15677966101694918,0.0704511725542669,0.9621661485804841,0.9048374180359595,0.9281335769060914,0.9091087485270968,0,False,False,
38,degradation,8,0.11389830508474577,0.12538504481094423,0.17203389830508475,0.14163338937704403,0.962879536808198,0.9048374180359595,0.9001746301640423,0.9073219248544859,0,False,False,
39,degradation,9,0.11813559322033898,0.14851396206956746,0.18728813559322033,0.1375385145132495,0.9270364848885694,0.9048374180359595,0.8864553565854281,0.9031486112006744,0,False,False,
40,degradation,10,0.1223728813559322,0.11256763341080343,0.20254237288135596,0.1283911093709919,0.9398525215325594,0.9048374180359595,0.9009327991966809,0.9027054487998757,0,False,False,
41,degradation,11,0.12661016949152543,0.12434943815755588,0.21779661016949153,0.18053246520999816,0.9198828856047183,0.9048374180359595,0.879959600068281,0.8981562790535568,0,False,False,
42,degradation,12,0.13084745762711864,0.1552521212367376,0.23305084745762716,0.20417398826041225,0.8882577314439144,0.9048374180359595,0.858417259995681,0.8902084752419817,0,False,False,
43,degradation,13,0.13508474576271187,0.18583799257233408,0.24830508474576274,0.21267175296147764,0.8710673039786027,0.9048374180359595,0.8443487441201876,0.8810365290176229,0,False,False,
44,degradation,14,0.13932203389830508,0.13945982142237043,0.2635593220338983,0.37685983756644253,0.6444878987422198,0.9048374180359595,0.7582514144473416,0.8564795061035666,0,False,False,
45,degradation,15,0.14355932203389832,0.17832351860422146,0.2788135593220339,0.2635013083329731,0.8152542653187356,0.9048374180359595,0.8195667141043752,0.8490969477037283,0,False,False,
46,degradation,16,0.14779661016949153,0.242876058988655,0.2940677966101695,0.2936391390471298,0.9646694170877315,0.9048374180359595,0.8332479092719765,0.845927140017378,0,False,False,
47,degradation,17,0.15203389830508474,0.1299265000344074,0.3093220338983051,0.3268476359657106,0.7780225454659614,0.9048374180359595,0.8065214568754506,0.8380460033889925,0,False,False,
48,degradation,18,0.15627118644067797,0.12173678580978378,0.32457627118644067,0.32770042750901723,0.7976193926445514,0.9048374180359595,0.8132548993404274,0.8330877825792794,0,False,False,
49,degradation,19,0.16050847457627118,0.17063305377559257,0.33983050847457624,0.23457911508836804,0.9981125475431837,0.9048374180359595,0.8744344491787956,0.8413571158991826,0,False,False,
50,degradation,20,0.16474576271186442,0.15639591727280047,0.3550847457627119,0.4422300210744115,0.6799806545725969,0.9048374180359595,0.7465480335653361,0.8223952994324133,0,False,False,
51,degradation,21,0.16898305084745763,0.18360983608367104,0.37033898305084745,0.5285860881246918,0.6455432956681517,0.9048374180359595,0.7095461973739371,0.7998254790207181,0,False,False,
