method,tau_s,theta_accept,theta_reject,total_scenarios,accepted,forwarded,rejected,coverage,forwarding_rate,rejection_rate,accepted_mae,false_acceptance_rate,unsafe_acceptance_frequency,accepted_output_contamination_rate
raw_phys_mcp_output,5.0,,,10080,10080,0,0,1.0,0.0,0.0,0.5057264863680829,1.0,0.6185515873015873,0.6185515873015873
confidence_only,5.0,0.5,0.35,10080,8135,1688,257,0.8070436507936508,0.16746031746031745,0.025496031746031746,0.46950719231109955,0.7669607056936648,0.4744047619047619,0.5878303626306085
full_trust_score,5.0,0.5,0.35,10080,7407,2140,533,0.7348214285714286,0.2123015873015873,0.052876984126984126,0.4245684961295557,0.6595028067361668,0.40793650793650793,0.5551505332793304
confidence_only,5.0,0.55,0.35,10080,7169,2654,257,0.7112103174603175,0.2632936507936508,0.025496031746031746,0.4598067429125396,0.6639935846030474,0.4107142857142857,0.5774863997768168
full_trust_score,5.0,0.55,0.35,10080,6281,3266,533,0.6231150793650794,0.3240079365079365,0.052876984126984126,0.3956932725269177,0.5291098636728148,0.32728174603174603,0.5252348352173221
confidence_only,5.0,0.6,0.35,10080,6033,3790,257,0.5985119047619047,0.3759920634920635,0.025496031746031746,0.4441732891285396,0.547233360064154,0.3384920634920635,0.5655561080722692
full_trust_score,5.0,0.6,0.35,10080,5030,4517,533,0.4990079365079365,0.4481150793650794,0.052876984126984126,0.36193311065020184,0.39198075380914194,0.24246031746031746,0.48588469184890654
confidence_only,5.0,0.65,0.35,10080,4844,4979,257,0.48055555555555557,0.4939484126984127,0.025496031746031746,0.42897636078595613,0.4277465918203689,0.26458333333333334,0.5505780346820809
full_trust_score,5.0,0.65,0.35,10080,3723,5824,533,0.3693452380952381,0.5777777777777777,0.052876984126984126,0.3265917666133076,0.26351242983159584,0.16299603174603175,0.44131077088369597
confidence_only,5.0,0.7,0.35,10080,3707,6116,257,0.36775793650793653,0.6067460317460317,0.025496031746031746,0.40294575637019303,0.3132317562149158,0.19375,0.5268411114108443
full_trust_score,5.0,0.7,0.35,10080,2576,6971,533,0.25555555555555554,0.6915674603174603,0.052876984126984126,0.2876191782461686,0.15862068965517243,0.09811507936507936,0.38392857142857145
confidence_only,5.0,0.75,0.35,10080,2616,7207,257,0.25952380952380955,0.7149801587301587,0.025496031746031746,0.38026599537824585,0.20962309542902968,0.12966269841269842,0.4996177370030581
full_trust_score,5.0,0.75,0.35,10080,1593,7954,533,0.15803571428571428,0.7890873015873016,0.052876984126984126,0.2389689107778311,0.07955092221331195,0.049206349206349205,0.3113622096672944
confidence_only,5.0,0.8,0.35,10080,1648,8175,257,0.1634920634920635,0.8110119047619048,0.025496031746031746,0.3354769393375124,0.11948676824378508,0.07390873015873016,0.4520631067961165
full_trust_score,5.0,0.8,0.35,10080,876,8671,533,0.0869047619047619,0.860218253968254,0.052876984126984126,0.19462810345860546,0.03143544506816359,0.019444444444444445,0.2237442922374429
confidence_only,5.0,0.85,0.35,10080,913,8910,257,0.09057539682539682,0.8839285714285714,0.025496031746031746,0.2943942304972524,0.058861267040898155,0.03640873015873016,0.4019715224534502
full_trust_score,5.0,0.85,0.35,10080,371,9176,533,0.03680555555555556,0.9103174603174603,0.052876984126984126,0.14395086036267396,0.006896551724137931,0.0042658730158730155,0.11590296495956873
confidence_only,5.0,0.9,0.35,10080,399,9424,257,0.03958333333333333,0.9349206349206349,0.025496031746031746,0.23397249182067703,0.020048115477145148,0.01240079365079365,0.3132832080200501
full_trust_score,5.0,0.9,0.35,10080,115,9432,533,0.011408730158730158,0.9357142857142857,0.052876984126984126,0.09423143953389188,0.0009623095429029671,0.0005952380952380953,0.05217391304347826
confidence_only,5.0,0.95,0.35,10080,131,9692,257,0.012996031746031747,0.9615079365079365,0.025496031746031746,0.21402397662358402,0.005292702485966319,0.003273809523809524,0.25190839694656486
full_trust_score,5.0,0.95,0.35,10080,15,9532,533,0.001488095238095238,0.9456349206349206,0.052876984126984126,0.042546423756643456,0.00016038492381716118,9.92063492063492e-05,0.06666666666666667
