method,tau_s,noise_level,drift_level,delay_s,runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,mean_full_trust_score,mean_method_score,mean_estimated_noise,mean_estimated_drift,mean_confidence
raw_phys_mcp_output,1.0,0.0,0.0,0.1,30,0.0011616905737494262,0.0011616905737494262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122159862436734,,0.015544075869470748,0.01869364800860959,0.7782642508168144
confidence_only,1.0,0.0,0.0,0.1,30,0.0011616905737494262,0.001249540493807511,0.0,0.5666666666666667,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.9122159862436734,0.7782642508168144,0.015544075869470748,0.01869364800860959,0.7782642508168144
freshness_only,1.0,0.0,0.0,0.1,30,0.0011616905737494262,0.0011616905737494262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122159862436734,0.9048374180359595,0.015544075869470748,0.01869364800860959,0.7782642508168144
full_trust_score,1.0,0.0,0.0,0.1,30,0.0011616905737494262,0.0011616905737494262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122159862436734,0.9122159862436734,0.015544075869470748,0.01869364800860959,0.7782642508168144
raw_phys_mcp_output,1.0,0.0,0.0,1.0,30,0.013167870466930121,0.013167870466930121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7820121890748813,,0.01783282616570012,0.021189928288548265,0.7991920695823315
confidence_only,1.0,0.0,0.0,1.0,30,0.013167870466930121,0.01306698829730336,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.7820121890748813,0.7991920695823315,0.01783282616570012,0.021189928288548265,0.7991920695823315
freshness_only,1.0,0.0,0.0,1.0,30,0.013167870466930121,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.7820121890748813,0.3678794411714423,0.01783282616570012,0.021189928288548265,0.7991920695823315
full_trust_score,1.0,0.0,0.0,1.0,30,0.013167870466930121,0.013071211904180723,0.0,0.8666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.7820121890748813,0.7820121890748813,0.01783282616570012,0.021189928288548265,0.7991920695823315
raw_phys_mcp_output,1.0,0.0,0.0,3.0,30,0.029557842168128793,0.029557842168128793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702355239291349,,0.024791701160071674,0.011049393373799454,0.7954749833314035
confidence_only,1.0,0.0,0.0,3.0,30,0.029557842168128793,0.03289430242714814,0.0,0.5666666666666667,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.702355239291349,0.7954749833314035,0.024791701160071674,0.011049393373799454,0.7954749833314035
