step,phase,phase_step,true_noise,estimated_noise,true_drift,estimated_drift,confidence,freshness,current_trust,historical_trust,recalibration_requested,recalibration_event
0,healthy,0,0.08,0.11960723704748955,0.04918280395373651,0.05545871773889954,0.951861538610115,0.9048374180359595,0.9204082504649214,0.9204082504649214,False,False
1,healthy,1,0.08,0.16050355472316785,0.05030098462268734,0.0669169018260731,0.8876448191005302,0.9048374180359595,0.891265445146812,0.9145796894012994,False,False
2,healthy,2,0.08,0.1145086499582301,0.04265765459055811,0.049194974978872305,0.9159751211581173,0.9048374180359595,0.9142772285642435,0.9145191972338882,False,False
3,healthy,3,0.08,0.07960988134772458,0.03596512952059945,0.0,0.8869830580618928,0.9048374180359595,0.928052648687532,0.917225887524617,False,False
4,healthy,4,0.08,0.002906232090811922,0.0366132186612209,0.0,1.0,0.9048374180359595,0.9754827964862869,0.9288772693169509,False,False
5,healthy,5,0.08,0.08369538430357228,0.0509441818496468,0.035330315992418815,0.9916187224890856,0.9048374180359595,0.9443576100572635,0.9319733374650134,False,False
6,healthy,6,0.08,0.06858064542341327,0.05871639216620343,0.07759128548388802,1.0,0.9048374180359595,0.9396663717821645,0.9335119443284436,False,False
7,healthy,7,0.08,0.1353657489324752,0.04811178094100673,0.07652431532027601,0.7940823429608883,0.9048374180359595,0.8717574241860242,0.9211610402999597,False,False
8,healthy,8,0.08,0.12807445362651437,0.04608684274364102,0.03788804266332177,0.7911329372556205,0.9048374180359595,0.882501964750436,0.913429225190055,False,False
9,healthy,9,0.08,0.049797803940205596,0.04855559257092738,0.09092366373832741,0.8635351869891988,0.9048374180359595,0.9069127843366562,0.9121259370193752,False,False
10,healthy,10,0.08,0.11448070850102758,0.0511371550864477,0.06134869723261697,0.9216763086982129,0.9048374180359595,0.9126710802501319,0.9122349656655264,False,False
11,healthy,11,0.08,0.09976937102052634,0.036983726590830907,0.06948113148114585,0.9705791620113406,0.9048374180359595,0.926541519386407,0.9150962764097026,False,False
12,healthy,12,0.08,0.0482426713314846,0.049070533327932,0.08516881344073118,0.9625046098012269,0.9048374180359595,0.9334826357662427,0.9187735482810105,False,False
13,healthy,13,0.08,0.1181382337902549,0.058099637631374816,0.01713501052205014,0.8579807342829053,0.9048374180359595,0.90688622700164,0.9163960840251364,False,False
14,healthy,14,0.08,0.07609410554484923,0.035134159445942906,0.005523266306002934,0.7918318181833843,0.9048374180359595,0.9037629660921229,0.9138694604385337,False,False
15,healthy,15,0.08,0.18372450412526536,0.04919999279562279,0.0,0.8839440744843969,0.9048374180359595,0.9012642470987728,0.9113484177705815,False,False
16,healthy,16,0.08,0.08586540404485453,0.055285557605694285,0.019701244728474433,1.0,0.9048374180359595,0.9498176923156576,0.9190422726795968,False,False
17,healthy,17,0.08,0.08872053637655886,0.03803222627927108,0.0670712133555994,1.0,0.9048374180359595,0.9372614170759503,0.9226861015588675,False,False
18,healthy,18,0.08,0.05114814839254925,0.05629102879418006,0.12333568914671343,0.7895697109553761,0.9048374180359595,0.8799808228630182,0.9141450458196977,False,False
19,healthy,19,0.08,0.14762340543574715,0.04376555557762196,0.04025251689259208,0.9847938406118383,0.9048374180359595,0.9254388340798647,0.9164038034717311,False,False
20,healthy,20,0.08,0.0746998158180899,0.04684104402489452,0.11290394025439257,0.9896571566091236,0.9048374180359595,0.9267227046431501,0.9184675837060149,False,False
21,healthy,21,0.08,0.04976738190390041,0.0365796227747185,0.09625428639688335,0.9401139876265896,0.9048374180359595,0.9247324343404413,0.9197205538329002,False,False
22,healthy,22,0.08,0.1030494087207585,0.032727282365213814,0.03975743524761951,0.8441710858775152,0.9048374180359595,0.9015504149862741,0.916086526063575,False,False
23,healthy,23,0.08,0.01638262644735833,0.04266479900399052,0.08783406472122025,0.9887970937690288,0.9048374180359595,0.9473544551591024,0.9223401118826805,False,False
24,healthy,24,0.08,0.0,0.0598836414072029,0.03567096807782168,0.9935269565230465,0.9048374180359595,0.965673351620296,0.9310067598302036,False,False
25,healthy,25,0.08,0.07416905418577911,0.05162165458080584,0.0258082041185307,0.8697332668548844,0.9048374180359595,0.9186483566466335,0.9285350791934897,False,False
26,healthy,26,0.08,0.06461222678064871,0.03800475569857628,0.019173579265951188,0.8857995645392123,0.9048374180359595,0.9267127941321429,0.9281706221812204,False,False
27,healthy,27,0.08,0.10191086584406131,0.0586144778256324,0.0864070983716245,0.8806787115612995,0.9048374180359595,0.8992995413453932,0.9223964060140549,False,False
28,healthy,28,0.08,0.12784995430530716,0.04501758339150895,0.1445076570076802,0.937326077698044,0.9048374180359595,0.892451471105254,0.9164074190322947,False,False
29,healthy,29,0.08,0.04940562081847097,0.04916848484598015,0.026860944874592625,0.9403532556538994,0.9048374180359595,0.9422310269991987,0.9215721406256755,False,False
30,degradation,0,0.08,0.08488881736443384,0.05,0.0,0.9836401074662275,0.9048374180359595,0.9508971770344383,0.927437147907428,False,False
31,degradation,1,0.08512820512820513,0.024647325279523388,0.07179487179487179,0.11605478731277902,0.9439736207837182,0.9048374180359595,0.9270272315568437,0.9273551646373112,False,False
32,degradation,2,0.09025641025641026,0.2044279835987978,0.09358974358974359,0.10763176926629534,0.9844312580885827,0.9048374180359595,0.8943022308148623,0.9207445778728214,False,False
33,degradation,3,0.09538461538461539,0.03022141679874718,0.11538461538461539,0.10927764820852212,0.9700520263182206,0.9048374180359595,0.9338475948367277,0.9233651812656026,False,False
34,degradation,4,0.10051282051282051,0.18779886643137295,0.1371794871794872,0.05313369027843899,0.982876551700781,0.9048374180359595,0.911695353256732,0.9210312156638285,False,False
35,degradation,5,0.10564102564102565,0.13520872633182146,0.15897435897435896,0.23565166876126548,0.9086466834090628,0.9048374180359595,0.8606559265879838,0.9089561578486596,False,False
36,degradation,6,0.11076923076923077,0.11337279002442818,0.1807692307692308,0.15468674824832282,0.7929218072634819,0.9048374180359595,0.8574249217566727,0.8986499106302622,False,False
37,degradation,7,0.1158974358974359,0.12566857414258442,0.20256410256410257,0.19297926411433702,1.0,0.9048374180359595,0.8965473949447595,0.8982294074931617,False,False
38,degradation,8,0.12102564102564103,0.09047439962639867,0.22435897435897434,0.24037856661923,0.7421386999276901,0.9048374180359595,0.8290307879295051,0.8843896835804305,False,False
39,degradation,9,0.12615384615384617,0.10638071723753724,0.24615384615384617,0.25921124015840113,0.919680018043185,0.9048374180359595,0.8647313696708014,0.8804580207985047,False,False
40,degradation,10,0.13128205128205128,0.2036871356234563,0.26794871794871794,0.26574130913225447,0.7228490317728449,0.9048374180359595,0.7895645012632733,0.8622793168914583,False,False
41,degradation,11,0.13641025641025642,0.15930277638483342,0.2897435897435897,0.3155929446642794,0.8493743790074164,0.9048374180359595,0.8198290189985658,0.8537892573128798,False,False
42,degradation,12,0.14153846153846156,0.1065240765797249,0.31153846153846154,0.3682076814178059,0.8171389696733489,0.9048374180359595,0.8118111574279443,0.8453936373358927,False,False
43,degradation,13,0.14666666666666667,0.18165789775246596,0.3333333333333333,0.3970369953380557,0.8172638284090594,0.9048374180359595,0.7858515883386243,0.833485227536439,False,False
44,degradation,14,0.1517948717948718,0.16612067319396034,0.3551282051282051,0.4627679668832313,0.7679407872468953,0.9048374180359595,0.7609723913014157,0.8189826602894343,False,False
45,degradation,15,0.15692307692307694,0.14212486528447288,0.3769230769230769,0.3825214288022284,0.9087629758402902,0.9048374180359595,0.8222385249473871,0.8196338332210249,False,False
46,degradation,16,0.16205128205128205,0.16798690639562205,0.3987179487179487,0.42468683147490927,0.8585890200783605,0.9048374180359595,0.7926881750609471,0.8142447015890094,False,False
47,degradation,17,0.1671794871794872,0.1415365566681457,0.4205128205128205,0.33418433205013826,0.8336654966900017,0.9048374180359595,0.8156955065019194,0.8145348625715914,False,False
48,degradation,18,0.17230769230769233,0.1837944320338908,0.4423076923076923,0.4119071833796516,0.8314062643179764,0.9048374180359595,0.7851355167350984,0.8086549934042928,False,False
49,degradation,19,0.17743589743589744,0.20781426628512595,0.46410256410256406,0.41435294302259323,0.7925905917986086,0.9048374180359595,0.7688152001317121,0.8006870347497768,False,False
50,degradation,20,0.18256410256410255,0.17275885461897378,0.48589743589743584,0.4117461723870718,0.8024340078428592,0.9048374180359595,0.7806915997181934,0.7966879477434601,False,False
51,degradation,21,0.1876923076923077,0.18543157635833818,0.5076923076923077,0.4704281627328143,0.7794917513152788,0.9048374180359595,0.7571173575650214,0.7887738297077724,False,False
52,degradation,22,0.19282051282051282,0.21722517643013178,0.5294871794871795,0.5006103202899645,0.7448939765547357,0.9048374180359595,0.7329739744676496,0.7776138586597479,False,False
53,degradation,23,0.19794871794871796,0.24870196475834017,0.5512820512820513,0.5156487194977663,0.7247309284896848,0.9048374180359595,0.7163044155673846,0.7653519700412752,False,False
54,degradation,24,0.2030769230769231,0.20321471060098845,0.5730769230769232,0.6863774386094674,0.4951789026535627,0.9048374180359595,0.6276060428697665,0.7378027846069735,False,False
55,degradation,25,0.2082051282051282,0.24296932477545136,0.594871794871795,0.5795595438827342,0.6629726486303392,0.9048374180359595,0.6863202995020283,0.7275062875859843,False,False
56,degradation,26,0.21333333333333332,0.3084127821524968,0.6166666666666667,0.616238009103627,0.8094151797995959,0.9048374180359595,0.6974004516448579,0.721485120397759,False,False
57,degradation,27,0.21846153846153848,0.19635414019086114,0.6384615384615385,0.655987140528944,0.6197956875780867,0.9048374180359595,0.6680729562235603,0.7108026875629192,False,False
58,degradation,28,0.2235897435897436,0.1890553429588494,0.6602564102564102,0.6633805665789868,0.6364199141569373,0.9048374180359595,0.672205355663765,0.7030832211830883,False,False
59,degradation,29,0.2287179487179487,0.2388425279172701,0.6820512820512821,0.5767998886650738,0.8339404484558304,0.9048374180359595,0.7307838624773615,0.7086233494419429,False,False
60,degradation,30,0.23384615384615387,0.22549630840708992,0.7038461538461539,0.7909914291578536,0.5128359348855044,0.9048374180359595,0.6002964038391301,0.6869579603213803,False,False
61,degradation,31,0.23897435897435898,0.2536011442105724,0.7256410256410256,0.8838881307148699,0.47542595538131993,0.9048374180359595,0.5606935246229594,0.6617050731816961,False,False
62,degradation,32,0.2441025641025641,0.1693375754471508,0.7474358974358974,0.7201104206690654,0.682019875739322,0.9048374180359595,0.6743523244147663,0.6642345234283102,False,False
63,degradation,33,0.24923076923076926,0.2838977712338341,0.7692307692307693,0.8337491036318406,0.5323802581822649,0.9048374180359595,0.5798927003381373,0.6473661588102756,False,False
64,degradation,34,0.25435897435897437,0.17424643638395926,0.7910256410256411,0.7692741508018868,0.7218095807098021,0.9048374180359595,0.6707816028899789,0.6520492476262163,False,False
65,degradation,35,0.25948717948717953,0.2827703121457441,0.8128205128205128,0.7149735735517626,0.5980983247859447,0.9048374180359595,0.6262979642810993,0.6468989909571928,False,False
66,degradation,36,0.26461538461538464,0.33452378918149117,0.8346153846153846,0.9409427914629064,0.5347482988450232,0.9048374180359595,0.5410297840591463,0.6257251495775835,False,False
67,degradation,37,0.26974358974358975,0.28520870538356485,0.8564102564102564,0.7943999730109699,0.5006970987247856,0.9048374180359595,0.5814814595915526,0.6168764115803773,False,False
68,degradation,38,0.27487179487179486,0.27721758774710314,0.8782051282051282,0.9033650152458046,0.574181694092418,0.9048374180359595,0.5746091272838674,0.6084229547210753,False,False
69,degradation,39,0.28,0.2560895722432932,0.9,0.8424028885788243,0.49838046838315997,0.9048374180359595,0.5761813563992506,0.6019746350567104,False,False
70,recovery,0,0.28,0.22215128028701198,0.9,0.9321704591381996,0.3532888157462625,0.9048374180359595,0.5259511235892527,0.5867699327632189,False,False
71,recovery,1,0.2731034482758621,0.2564395469953874,0.8706896551724138,0.8931835717774743,0.6619117704640505,0.9048374180359595,0.604281517431787,0.5902722496969325,False,False
72,recovery,2,0.26620689655172414,0.26977188030427274,0.8413793103448276,0.8914435073205331,0.5035935192075902,0.9048374180359595,0.561803887404686,0.5845785772384832,False,False
73,recovery,3,0.25931034482758625,0.22209014550098172,0.8120689655172414,0.7783493135953681,0.7220110789136067,0.9048374180359595,0.6566022594633041,0.5989833136834473,False,False
74,recovery,4,0.2524137931034483,0.3021248502983356,0.7827586206896552,0.807128517012786,0.8227201621604932,0.9048374180359595,0.6545760532213327,0.6101018615910243,False,False
75,recovery,5,0.24551724137931036,0.24390017275300288,0.753448275862069,0.7844657584135091,0.613260951738076,0.9048374180359595,0.6224331096518809,0.6125681112031957,False,False
76,recovery,6,0.23862068965517244,0.22752640514896444,0.7241379310344828,0.8399464984230587,0.6935392228141598,0.9048374180359595,0.632725934319524,0.6165996758264614,False,False
77,recovery,7,0.2317241379310345,0.16175015620000677,0.6948275862068966,0.6748352700926358,0.699632752552406,0.9048374180359595,0.6919711860739308,0.6316739778759553,False,False
