runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,weight_config,alpha,beta,gamma,delta,theta_accept,theta_reject,tau_s,mean_trust,mean_confidence
10000,0.6659833345377838,0.27797552174257617,0.7322,0.0665,0.1687,0.7648,0.0228,0.0292,0.03113903305107894,0.10903659447348768,0.34285714285714286,equal,0.25,0.25,0.25,0.25,0.7,0.3,5.0,0.46031767027084036,0.5982693530535459
10000,0.6659833345377838,0.2243666753246941,0.7322,0.0307,0.2549,0.7144,0.0078,0.0437,0.010652827096421742,0.1631814787154593,0.254071661237785,equal,0.25,0.25,0.25,0.25,0.75,0.35,5.0,0.46031767027084036,0.5982693530535459
10000,0.6659833345377838,0.1933588231479278,0.7322,0.0134,0.3588,0.6278,0.0024,0.0607,0.0032777929527451517,0.22666168782673637,0.1791044776119403,equal,0.25,0.25,0.25,0.25,0.8,0.4,5.0,0.46031767027084036,0.5982693530535459
10000,0.6659833345377838,0.15840357105988845,0.7322,0.006,0.4761,0.5179,0.0005,0.0844,0.0006828735318219066,0.31516056758775207,0.08333333333333333,equal,0.25,0.25,0.25,0.25,0.85,0.45,5.0,0.46031767027084036,0.5982693530535459
10000,0.6659833345377838,0.2798823904310263,0.7322,0.0952,0.1315,0.7733,0.0338,0.0236,0.046162250751160885,0.08812546676624347,0.3550420168067227,confidence_priority,0.4,0.2,0.2,0.2,0.7,0.3,5.0,0.48790800682738145,0.5982693530535459
10000,0.6659833345377838,0.2189314378399999,0.7322,0.0488,0.2078,0.7434,0.0119,0.0368,0.016252390057361378,0.13741598207617625,0.24385245901639344,confidence_priority,0.4,0.2,0.2,0.2,0.75,0.35,5.0,0.48790800682738145,0.5982693530535459
10000,0.6659833345377838,0.19312551163927558,0.7322,0.0197,0.3022,0.6781,0.0036,0.0501,0.004916689429117728,0.18707991038088126,0.18274111675126903,confidence_priority,0.4,0.2,0.2,0.2,0.8,0.4,5.0,0.48790800682738145,0.5982693530535459
10000,0.6659833345377838,0.1667812635229409,0.7322,0.0076,0.4072,0.5852,0.0008,0.0693,0.0010925976509150504,0.2587752053771471,0.10526315789473684,confidence_priority,0.4,0.2,0.2,0.2,0.85,0.45,5.0,0.48790800682738145,0.5982693530535459
10000,0.6659833345377838,0.28565749967734433,0.7322,0.0901,0.1796,0.7303,0.035,0.0338,0.04780114722753346,0.1262135922330097,0.38845726970033295,noise_priority,0.2,0.4,0.2,0.2,0.7,0.3,5.0,0.46842361717367487,0.5982693530535459
10000,0.6659833345377838,0.22302706602346756,0.7322,0.0452,0.267,0.6878,0.0121,0.0503,0.01652553947009014,0.18782673637042568,0.2676991150442478,noise_priority,0.2,0.4,0.2,0.2,0.75,0.35,5.0,0.46842361717367487,0.5982693530535459
10000,0.6659833345377838,0.19519948817826774,0.7322,0.0175,0.3587,0.6238,0.0037,0.0688,0.005053264135482109,0.256908140403286,0.21142857142857144,noise_priority,0.2,0.4,0.2,0.2,0.8,0.4,5.0,0.46842361717367487,0.5982693530535459
10000,0.6659833345377838,0.153179923543677,0.7322,0.006,0.4559,0.5381,0.0005,0.0916,0.0006828735318219066,0.34204630321135177,0.08333333333333333,noise_priority,0.2,0.4,0.2,0.2,0.85,0.45,5.0,0.46842361717367487,0.5982693530535459
10000,0.6659833345377838,0.26691437850829147,0.7322,0.0918,0.1806,0.7276,0.0286,0.0278,0.03906036602021306,0.10380881254667662,0.3115468409586057,drift_priority,0.2,0.2,0.4,0.2,0.7,0.3,5.0,0.4674769997339071,0.5982693530535459
10000,0.6659833345377838,0.2203801440260217,0.7322,0.0448,0.2681,0.6871,0.0102,0.0402,0.013930620049166894,0.15011202389843167,0.22767857142857142,drift_priority,0.2,0.2,0.4,0.2,0.75,0.35,5.0,0.4674769997339071,0.5982693530535459
10000,0.6659833345377838,0.1686914229961545,0.7322,0.0181,0.3606,0.6213,0.0023,0.0524,0.0031412182463807703,0.19566840926064227,0.1270718232044199,drift_priority,0.2,0.2,0.4,0.2,0.8,0.4,5.0,0.4674769997339071,0.5982693530535459
10000,0.6659833345377838,0.1626390056956578,0.7322,0.0072,0.4605,0.5323,0.0009,0.0695,0.001229172357279432,0.25952203136669155,0.125,drift_priority,0.2,0.2,0.4,0.2,0.85,0.45,5.0,0.4674769997339071,0.5982693530535459
10000,0.6659833345377838,0.38601382815923596,0.7322,0.0451,0.2369,0.718,0.0232,0.0398,0.031685331876536466,0.1486183719193428,0.5144124168514412,freshness_priority,0.2,0.2,0.2,0.4,0.7,0.3,5.0,0.41746205734839814,0.5982693530535459
10000,0.6659833345377838,0.332352752967654,0.7322,0.0239,0.3517,0.6244,0.01,0.0602,0.013657470636438131,0.22479462285287527,0.41841004184100417,freshness_priority,0.2,0.2,0.2,0.4,0.75,0.35,5.0,0.41746205734839814,0.5982693530535459
10000,0.6659833345377838,0.2446827313987356,0.7322,0.0123,0.4781,0.5096,0.0034,0.0888,0.004643540016388965,0.33159073935772965,0.2764227642276423,freshness_priority,0.2,0.2,0.2,0.4,0.8,0.4,5.0,0.41746205734839814,0.5982693530535459
10000,0.6659833345377838,0.16921773040747304,0.7322,0.0049,0.6032,0.3919,0.0006,0.1194,0.0008194482381862879,0.4458551157580284,0.12244897959183673,freshness_priority,0.2,0.2,0.2,0.4,0.85,0.45,5.0,0.41746205734839814,0.5982693530535459
