method,tau_s,noise_level,drift_level,delay_s,runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,mean_full_trust_score,mean_method_score
raw_phys_mcp_output,1.0,0.0,0.0,0.1,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762093545089898,
confidence_only,1.0,0.0,0.0,0.1,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762093545089898,1.0
freshness_only,1.0,0.0,0.0,0.1,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762093545089898,0.9048374180359595
full_trust_score,1.0,0.0,0.0,0.1,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762093545089898,0.9762093545089898
raw_phys_mcp_output,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8419698602928606,
confidence_only,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8419698602928606,1.0
freshness_only,1.0,0.0,0.0,1.0,30,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.8419698602928606,0.3678794411714423
full_trust_score,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8419698602928606,0.8419698602928606
raw_phys_mcp_output,1.0,0.0,0.0,3.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762446767091966,
confidence_only,1.0,0.0,0.0,3.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762446767091966,1.0
freshness_only,1.0,0.0,0.0,3.0,30,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.762446767091966,0.049787068367863944
full_trust_score,1.0,0.0,0.0,3.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762446767091966,0.762446767091966
raw_phys_mcp_output,1.0,0.0,0.0,5.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516844867497714,
confidence_only,1.0,0.0,0.0,5.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516844867497714,1.0
freshness_only,1.0,0.0,0.0,5.0,30,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.7516844867497714,0.006737946999085467
full_trust_score,1.0,0.0,0.0,5.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516844867497714,0.7516844867497714
raw_phys_mcp_output,1.0,0.0,0.0,10.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500113499824406,
confidence_only,1.0,0.0,0.0,10.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500113499824406,1.0
freshness_only,1.0,0.0,0.0,10.0,30,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.7500113499824406,4.5399929762484854e-05
full_trust_score,1.0,0.0,0.0,10.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500113499824406,0.7500113499824406
raw_phys_mcp_output,1.0,0.0,0.0,20.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000005152884,
confidence_only,1.0,0.0,0.0,20.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000005152884,1.0
freshness_only,1.0,0.0,0.0,20.0,30,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.7500000005152884,2.061153622438558e-09
full_trust_score,1.0,0.0,0.0,20.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000005152884,0.7500000005152884
raw_phys_mcp_output,1.0,0.0,0.1,0.1,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262093545089898,
confidence_only,1.0,0.0,0.1,0.1,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262093545089898,0.9
freshness_only,1.0,0.0,0.1,0.1,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262093545089898,0.9048374180359595
full_trust_score,1.0,0.0,0.1,0.1,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262093545089898,0.9262093545089898
raw_phys_mcp_output,1.0,0.0,0.1,1.0,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7919698602928605,
confidence_only,1.0,0.0,0.1,1.0,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7919698602928605,0.9
freshness_only,1.0,0.0,0.1,1.0,30,0.10000000000000009,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.7919698602928605,0.3678794411714423
full_trust_score,1.0,0.0,0.1,1.0,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7919698602928605,0.7919698602928605
raw_phys_mcp_output,1.0,0.0,0.1,3.0,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712446767091966,
confidence_only,1.0,0.0,0.1,3.0,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712446767091966,0.9
freshness_only,1.0,0.0,0.1,3.0,30,0.10000000000000009,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.712446767091966,0.049787068367863944
full_trust_score,1.0,0.0,0.1,3.0,30,0.10000000000000009,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.712446767091966,0.712446767091966
raw_phys_mcp_output,1.0,0.0,0.1,5.0,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7016844867497714,
confidence_only,1.0,0.0,0.1,5.0,30,0.10000000000000009,0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7016844867497714,0.9
